state,county,fips,population,median_age,pct_over_65,median_income,per_capita_income,pct_white,pct_black,pct_asian,pct_hispanic,pct_college,unemployment,pop_density,is_metro,region
Alabama,Autauga County,1001,55380,38.2,15,58731,29819,76.8,19,1,2.8,26.6,3.5,91.8,1,Southeast
Alabama,Baldwin County,1003,212830,43,20,58320,32626,86.2,9.3,0.9,4.6,31.9,4,114.6,1,Southeast
Alabama,Barbour County,1005,25361,40.4,18.6,32525,18473,46.8,47.6,0.5,4.4,11.6,9.4,31,0,Southeast
Alabama,Bibb County,1007,22493,40.9,15.9,47542,20778,76.8,22.3,0.1,2.6,10.4,7,36.8,1,Southeast
Alabama,Blount County,1009,57681,40.7,17.9,49358,24747,95.5,1.6,0.4,9.3,13.1,3.1,88.9,1,Southeast
Alabama,Bullock County,1011,10248,40.2,16,37785,20877,21.9,74.8,0.5,2.6,12.1,4.1,17.5,0,Southeast
Alabama,Butler County,1013,19828,40.8,19.7,40688,21038,51.8,45.4,0.3,1.4,16.1,7,27,0,Southeast
Alabama,Calhoun County,1015,114618,39.6,17.2,47255,25345,73.7,20.8,0.9,3.8,18.5,7.2,195.7,1,Southeast
Alabama,Chambers County,1017,33660,42,19.2,42289,22729,57.7,39.6,1.1,2.4,13.3,4,57.4,0,Southeast
Alabama,Cherokee County,1019,25903,46.5,22.4,41919,24301,92.9,4.6,0.2,1.6,12.8,4.4,46.9,0,Southeast
Alabama,Chilton County,1021,44055,38.7,16,47468,24658,83.6,9.2,0.4,7.8,12.7,6.5,63,1,Southeast
Alabama,Choctaw County,1023,12925,46.3,22.6,35892,22308,56.8,42.6,0.1,0.4,11.9,8.7,15.2,0,Southeast
Alabama,Clarke County,1025,24128,42.5,19.4,37404,22225,53,45.8,0.4,0.3,12.2,11.6,20.9,0,Southeast
Alabama,Clay County,1027,13337,43.3,20.2,40845,23519,83.2,15.6,0.2,3.1,10.6,5.6,23.1,0,Southeast
Alabama,Cleburne County,1029,14916,43.1,19.4,44741,23142,93.9,2.7,0,2.5,15.4,5.4,26.7,0,Southeast
Alabama,Coffee County,1031,51662,39.3,16.5,55637,27806,75.7,16.9,1.4,7.3,22.8,5.6,73.6,0,Southeast
Alabama,Colbert County,1033,54771,42.4,19.4,48065,25536,79,16.2,0.5,2.8,18.1,4.1,91.8,1,Southeast
Alabama,Conecuh County,1035,12394,44.8,22.2,37837,19769,50.7,47.8,0.5,0.7,12.8,9.7,15.6,0,Southeast
Alabama,Coosa County,1037,10757,48.4,22.6,38990,23694,65.8,33.6,0,1,12.8,2.3,17.7,0,Southeast
